datetime,date,hour,day_of_week,month,is_weekend,is_holiday_season,visitors
2024-01-01 09:00:00,2024-01-01,9,0,1,0,0,947
2024-01-01 10:00:00,2024-01-01,10,0,1,0,0,1158
2024-01-01 11:00:00,2024-01-01,11,0,1,0,0,1589
2024-01-01 12:00:00,2024-01-01,12,0,1,0,0,2077
2024-01-01 13:00:00,2024-01-01,13,0,1,0,0,1934
2024-01-01 14:00:00,2024-01-01,14,0,1,0,0,2085
2024-01-01 15:00:00,2024-01-01,15,0,1,0,0,2616
2024-01-01 16:00:00,2024-01-01,16,0,1,0,0,2343
2024-01-01 17:00:00,2024-01-01,17,0,1,0,0,1878
2024-01-01 18:00:00,2024-01-01,18,0,1,0,0,1871
2024-01-01 19:00:00,2024-01-01,19,0,1,0,0,1392
2024-01-01 20:00:00,2024-01-01,20,0,1,0,0,1765
2024-01-01 21:00:00,2024-01-01,21,0,1,0,0,1924
2024-01-01 22:00:00,2024-01-01,22,0,1,0,0,1440
2024-01-01 23:00:00,2024-01-01,23,0,1,0,0,352
2024-01-02 09:00:00,2024-01-02,9,1,1,0,0,583
2024-01-02 10:00:00,2024-01-02,10,1,1,0,0,1034
2024-01-02 11:00:00,2024-01-02,11,1,1,0,0,1530
2024-01-02 12:00:00,2024-01-02,12,1,1,0,0,1565
2024-01-02 13:00:00,2024-01-02,13,1,1,0,0,1653
2024-01-02 14:00:00,2024-01-02,14,1,1,0,0,2523
2024-01-02 15:00:00,2024-01-02,15,1,1,0,0,2140
2024-01-02 16:00:00,2024-01-02,16,1,1,0,0,2163
2024-01-02 17:00:00,2024-01-02,17,1,1,0,0,1650
2024-01-02 18:00:00,2024-01-02,18,1,1,0,0,1641
2024-01-02 19:00:00,2024-01-02,19,1,1,0,0,1494
2024-01-02 20:00:00,2024-01-02,20,1,1,0,0,1611
2024-01-02 21:00:00,2024-01-02,21,1,1,0,0,1954
2024-01-02 22:00:00,2024-01-02,22,1,1,0,0,1735
2024-01-02 23:00:00,2024-01-02,23,1,1,0,0,428
2024-01-03 09:00:00,2024-01-03,9,2,1,0,0,829
2024-01-03 10:00:00,2024-01-03,10,2,1,0,0,1439
2024-01-03 11:00:00,2024-01-03,11,2,1,0,0,1472
2024-01-03 12:00:00,2024-01-03,12,2,1,0,0,1533
2024-01-03 13:00:00,2024-01-03,13,2,1,0,0,2187
2024-01-03 14:00:00,2024-01-03,14,2,1,0,0,1831
2024-01-03 15:00:00,2024-01-03,15,2,1,0,0,2255
2024-01-03 16:00:00,2024-01-03,16,2,1,0,0,1641
2024-01-03 17:00:00,2024-01-03,17,2,1,0,0,1673
2024-01-03 18:00:00,2024-01-03,18,2,1,0,0,1798
2024-01-03 19:00:00,2024-01-03,19,2,1,0,0,1605
2024-01-03 20:00:00,2024-01-03,20,2,1,0,0,1908
2024-01-03 21:00:00,2024-01-03,21,2,1,0,0,1844
2024-01-03 22:00:00,2024-01-03,22,2,1,0,0,1802
2024-01-03 23:00:00,2024-01-03,23,2,1,0,0,365
2024-01-04 09:00:00,2024-01-04,9,3,1,0,0,817
