review_id,date,language,rating,sentiment,topic,topic_key,text,source
R000000,2024-04-14,en,4,positive,Personnel / Accueil,personnel,"Staff was very friendly and helpful, spoke perfect English.",Google Maps
R000001,2024-08-11,de,4,positive,Expérience globale,experience,"Magische Erfahrung, das Monument ist live noch beeindruckender.",TripAdvisor
R000002,2025-08-26,en,4,positive,Expérience globale,experience,"Perfect family day, kids loved every minute of it.",TripAdvisor
R000003,2024-06-08,de,1,negative,File d'attente,file_attente,"Riesige Schlangen auf jeder Ebene, sehr enttäuschend.",TripAdvisor
R000004,2024-12-18,es,5,positive,Expérience globale,experience,"Experiencia mágica, el monumento es aún más impresionante en persona.",Google Maps
R000005,2024-10-27,es,1,negative,File d'attente,file_attente,Demasiada espera incluso con entradas online.,Google Maps
R000006,2024-02-16,en,3,neutral,Général,generique,"Decent visit, nothing extraordinary but worth doing once.",Google Maps
R000007,2025-01-24,es,3,neutral,Général,generique,"Decent visit, nothing extraordinary but worth doing once.",TripAdvisor
R000008,2024-09-30,en,4,positive,Personnel / Accueil,personnel,"Great team, super welcoming and professional throughout.",Google Maps
R000009,2024-09-07,en,5,positive,Expérience globale,experience,"Truly magical experience, the monument is even more impressive in person.",TripAdvisor
R000010,2024-02-27,en,3,neutral,Général,generique,"Iconic monument, the experience is okay overall.",TripAdvisor
R000011,2025-08-03,fr,4,positive,Personnel / Accueil,personnel,"Personnel très accueillant et professionnel, toujours souriant.",Google Maps
R000012,2024-05-22,fr,1,negative,Propreté,proprete,"Beaucoup de déchets autour du monument, dommage pour l'image.",TripAdvisor
R000013,2025-02-12,en,5,positive,Expérience globale,experience,"Perfect family day, kids loved every minute of it.",TripAdvisor
R000014,2024-04-22,it,5,positive,Vue / Panorama,vue,"Vista mozzafiato dalla cima, si vede tutta Parigi.",TripAdvisor
R000015,2025-09-02,fr,1,negative,Sécurité,securite,"Trop de vendeurs à la sauvette autour, sentiment d'insécurité.",Booking
R000016,2025-11-29,en,3,neutral,Général,generique,"Decent visit, nothing extraordinary but worth doing once.",Google Maps
R000017,2024-06-10,es,1,negative,Prix / Tarification,prix,"Precios excesivos, sobre todo la comida en el lugar.",TripAdvisor
R000018,2025-06-03,it,3,neutral,Général,generique,"Decent visit, nothing extraordinary but worth doing once.",Booking
R000019,2024-06-14,de,5,positive,Vue / Panorama,vue,"Die Aussicht vom Gipfel ist atemberaubend, ganz Paris liegt einem zu Füßen.",Google Maps
R000020,2024-04-24,es,5,positive,Vue / Panorama,vue,"Panorama espectacular al atardecer, momento inolvidable.",Booking
R000021,2025-08-03,de,1,negative,Prix / Tarification,prix,"Viel zu teuer, besonders Essen und Getränke.",Booking
R000022,2025-05-01,fr,4,positive,Vue / Panorama,vue,"Panorama exceptionnel sur Paris, on voit jusqu'au Sacré-Cœur et la Défense.",Booking
R000023,2025-07-06,fr,5,positive,Expérience globale,experience,"Visite parfaite, organisation au top, je recommande vivement.",Google Maps
R000024,2025-06-13,en,2,negative,Sécurité,securite,Felt unsafe with all the street vendors harassing tourists.,TripAdvisor
R000025,2024-01-08,fr,5,positive,Vue / Panorama,vue,"Panorama exceptionnel sur Paris, on voit jusqu'au Sacré-Cœur et la Défense.",TripAdvisor
R000026,2024-08-31,en,4,positive,Vue / Panorama,vue,"Stunning panorama, especially at sunset. A must-visit in Paris.",TripAdvisor
R000027,2025-04-29,en,4,positive,Expérience globale,experience,"Perfect family day, kids loved every minute of it.",Google Maps
R000028,2025-04-23,fr,5,positive,Personnel / Accueil,personnel,"Le staff est multilingue et très serviable, parfait pour les touristes.",Google Maps
R000029,2024-12-13,fr,2,negative,File d'attente,file_attente,"File d'attente interminable, plus de 2 heures sous le soleil sans ombre.",Google Maps
R000030,2024-07-06,fr,4,positive,Expérience globale,experience,"Visite parfaite, organisation au top, je recommande vivement.",TripAdvisor
R000031,2024-04-10,fr,3,neutral,Général,generique,Ça vaut le coup de le voir une fois dans sa vie.,TripAdvisor
R000032,2025-05-12,it,1,negative,File d'attente,file_attente,"Coda interminabile di oltre 2 ore, un incubo.",TripAdvisor
R000033,2024-01-03,de,3,neutral,Général,generique,"Iconic monument, the experience is okay overall.",Booking
R000034,2025-07-23,fr,2,negative,Propreté,proprete,"Beaucoup de déchets autour du monument, dommage pour l'image.",Google Maps
R000035,2025-07-09,en,5,positive,Vue / Panorama,vue,"The view from the top is absolutely breathtaking, you can see all of Paris.",TripAdvisor
R000036,2025-06-27,fr,5,positive,Personnel / Accueil,personnel,"Accueil chaleureux et équipe efficace, merci pour cette belle visite.",TripAdvisor
R000037,2025-11-22,it,5,positive,Vue / Panorama,vue,"Vista mozzafiato dalla cima, si vede tutta Parigi.",Google Maps
R000038,2025-09-26,en,3,neutral,Général,generique,"Decent visit, nothing extraordinary but worth doing once.",TripAdvisor
R000039,2024-11-17,en,4,positive,Personnel / Accueil,personnel,"Great team, super welcoming and professional throughout.",TripAdvisor
R000040,2024-03-15,en,1,negative,Ascenseurs,ascenseur,"Only one lift working, massive wait to go back down.",TripAdvisor
R000041,2025-06-02,en,5,positive,Vue / Panorama,vue,"The view from the top is absolutely breathtaking, you can see all of Paris.",TripAdvisor
R000042,2024-10-18,de,3,neutral,Général,generique,"Iconic monument, the experience is okay overall.",TripAdvisor
R000043,2024-04-16,es,2,negative,File d'attente,file_attente,Demasiada espera incluso con entradas online.,Booking
